event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190527_092055-v1,1242984073.8,36.5,22.6,59.1,24.3,2490.0,8.867476217742222,0.0622703513141335,GWTC-2,GW190527_092055,2019-05-27,2019,BBH,O3a,40–60,2k–5k,0.6191780821917808,False
GW190531_023648-v1,1243305426.3,,,,,,9.951,0.41,GWTC-2.1-marginal,GW190531_023648,2019-05-31,2019,Unknown,O3a,,,,False
GW190602_175927-v3,1243533585.1,73.0,44.0,120.0,49.0,3000.0,12.4,0.001,IAS-O3a,GW190602_175927,2019-06-02,2019,BBH,O3a,100+,2k–5k,0.6027397260273972,False
GW190602_175927-v2,1243533585.0,71.8,44.8,115.6,48.0,2840.0,13.2,1e-05,GWTC-2.1-confident,GW190602_175927,2019-06-02,2019,BBH,O3a,100+,2k–5k,0.6239554317548747,False
GW190602_175927-v1,1243533585.1,69.1,47.8,116.3,49.1,2690.0,12.13087548611321,1.1478437256536948e-05,GWTC-2,GW190602_175927,2019-06-02,2019,BBH,O3a,100+,2k–5k,0.6917510853835022,False
GW190620_030421-v2,1245035079.3,58.0,35.0,92.7,38.1,2910.0,12.1,0.011,GWTC-2.1-confident,GW190620_030421,2019-06-20,2019,BBH,O3a,60–100,2k–5k,0.603448275862069,False
GW190620_030421-v1,1245035079.3,57.1,35.5,92.1,38.3,2810.0,10.91846314686192,0.0029209383726319,GWTC-2,GW190620_030421,2019-06-20,2019,BBH,O3a,60–100,2k–5k,0.6217162872154115,False
GW190630_185205-v2,1245955943.1,35.1,24.0,59.4,25.1,870.0,16.4,1e-05,GWTC-2.1-confident,GW190630_185205,2019-06-30,2019,BBH,O3a,40–60,500–1k,0.6837606837606838,False
GW190630_185205-v1,1245955943.2,35.1,23.7,59.1,24.9,890.0,15.64051208963232,1e-05,GWTC-2,GW190630_185205,2019-06-30,2019,BBH,O3a,40–60,500–1k,0.6752136752136751,False
GW190701_203306-v2,1246048404.5,54.1,40.5,94.3,40.2,2090.0,11.2,0.0057,GWTC-2.1-confident,GW190701_203306,2019-07-01,2019,BBH,O3a,60–100,2k–5k,0.7486136783733826,False
GW190701_203306-v1,1246048404.6,53.9,40.8,94.3,40.3,2060.0,11.58996006414267,0.0108613686053685,GWTC-2,GW190701_203306,2019-07-01,2019,BBH,O3a,60–100,2k–5k,0.7569573283858998,False
GW190704_104834-v1,1246272532.7,7.0,3.1,10.0,4.13,500.0,8.89,0.35,IAS-O3a,GW190704_104834,2019-07-04,2019,BBH,O3a,0–10,0–500 Mpc,0.4428571428571429,False
GW190706_222641-v1,1246487219.3,67.0,38.2,104.1,42.7,4420.0,12.653616083950071,1e-05,GWTC-2,GW190706_222641,2019-07-06,2019,BBH,O3a,100+,2k–5k,0.5701492537313433,False
GW190706_222641-v3,1246487219.3,67.0,38.0,104.0,42.0,5000.0,13.1,0.001,IAS-O3a,GW190706_222641,2019-07-06,2019,BBH,O3a,100+,2k–5k,0.5671641791044776,False
GW190706_222641-v2,1246487219.3,74.0,39.4,112.6,45.6,3630.0,13.4,5e-05,GWTC-2.1-confident,GW190706_222641,2019-07-06,2019,BBH,O3a,100+,2k–5k,0.5324324324324324,False
GW190707_093326-v2,1246527224.1,12.1,7.9,20.1,8.4,850.0,13.1,1e-05,GWTC-2.1-confident,GW190707_093326,2019-07-07,2019,BBH,O3a,20–40,500–1k,0.6528925619834711,False
GW190707_093326-v1,1246527224.2,11.6,8.4,20.1,8.5,770.0,12.97817936002082,1e-05,GWTC-2,GW190707_093326,2019-07-07,2019,BBH,O3a,20–40,500–1k,0.7241379310344828,False
